rank,player,team,game,pitcher,odds,consensus_score,composite_sim_score,correlation_score,matchup_score,pitcher_splits_score,per_pitch_score,weather_environment_score,market_score,estimated_plate_appearances,raw_hr_probability,adjusted_hr_probability,no_hr_probability,two_plus_hr_probability,market_implied_probability,model_fair_odds,ev_percent,edge_vs_market,book_tax_estimate,probability_tier,value_label,betting_tier,consensus_decision,consensus_confidence
88,Zach Cole,Houston Astros,Seattle Mariners @ Houston Astros,Bryce Miller,420,54.77,54.11,42.41,52.30,55.90,55.20,57.80,56.00,3.93,6.08%,8.71%,91.29%,0.318%,19.23%,1048,-54.72%,-10.52%,10.52%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
89,Andrew Benintendi,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Seth Lugo,650,58.65,57.91,46.19,53.50,58.00,70.20,51.50,53.00,4.05,7.76%,8.65%,91.35%,0.315%,13.33%,1056,-35.09%,-4.68%,4.68%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
90,Kyle Tucker,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,533,57.57,56.49,46.13,50.80,52.30,67.20,55.60,60.00,4.05,7.20%,8.57%,91.43%,0.309%,15.80%,1067,-45.74%,-7.23%,7.23%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
91,Ryan Jeffers,Minnesota Twins,Miami Marlins @ Minnesota Twins,Max Meyer,600,58.63,57.85,43.90,49.20,55.90,73.60,53.90,58.00,4.05,7.34%,8.45%,91.55%,0.300%,14.29%,1083,-40.84%,-5.83%,5.83%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
92,Fernando Tatis Jr.,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,502,57.43,56.75,43.80,50.80,53.50,73.70,47.80,56.00,4.05,6.90%,8.45%,91.55%,0.300%,16.61%,1083,-49.11%,-8.16%,8.16%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
93,Casey Schmitt,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,550,57.98,57.16,43.15,47.80,52.30,74.50,55.60,60.00,4.05,7.06%,8.39%,91.61%,0.296%,15.38%,1091,-45.44%,-6.99%,6.99%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
94,Jackson Chourio,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Michael King,725,58.54,58.00,46.02,53.00,59.80,70.90,47.80,53.00,4.05,7.80%,8.32%,91.68%,0.291%,12.12%,1102,-31.36%,-3.80%,3.80%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
95,Jesús Sánchez,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,690,56.68,57.05,49.88,56.10,63.00,60.80,47.10,53.00,4.05,7.42%,8.26%,91.74%,0.286%,12.66%,1111,-34.76%,-4.40%,4.40%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
96,Heliot Ramos,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,575,57.60,56.83,42.99,47.00,51.20,75.20,55.60,60.00,4.05,6.93%,8.19%,91.81%,0.282%,14.81%,1121,-44.70%,-6.62%,6.62%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
97,Danny Jansen,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,620,55.91,55.97,49.43,54.50,57.70,61.20,52.20,53.00,4.05,6.99%,8.09%,91.91%,0.275%,13.89%,1136,-41.73%,-5.80%,5.80%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
98,Kody Clemens,Minnesota Twins,Miami Marlins @ Minnesota Twins,Max Meyer,625,57.48,56.83,43.40,47.70,55.90,72.50,53.90,55.00,4.05,6.93%,8.03%,91.97%,0.271%,13.79%,1145,-41.78%,-5.76%,5.76%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
99,Vinnie Pasquantino,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,680,55.86,55.96,48.54,54.20,57.10,62.80,51.50,53.00,4.05,6.98%,7.92%,92.08%,0.263%,12.82%,1163,-38.25%,-4.90%,4.90%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
100,Brice Turang,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Michael King,680,56.43,55.85,45.47,49.80,56.20,68.60,47.80,53.00,4.05,6.94%,7.88%,92.12%,0.261%,12.82%,1169,-38.53%,-4.94%,4.94%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
101,Ramón Laureano,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,575,56.25,55.65,43.83,48.40,50.80,74.20,47.80,56.00,4.05,6.46%,7.80%,92.20%,0.255%,14.81%,1183,-47.38%,-7.02%,7.02%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
102,Maikel Garcia,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,725,56.17,56.40,48.66,52.20,59.30,64.20,51.50,53.00,4.05,7.16%,7.76%,92.24%,0.253%,12.12%,1189,-36.01%,-4.36%,4.36%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
103,Carter Jensen,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,800,57.12,57.29,48.53,55.00,59.60,65.20,51.50,53.00,4.05,7.02%,7.51%,92.49%,0.237%,11.11%,1232,-32.42%,-3.60%,3.60%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
104,Marcus Semien,New York Mets,Detroit Tigers @ New York Mets,Framber Valdez,790,56.13,56.00,47.79,51.30,56.80,61.90,53.70,59.00,4.05,7.00%,7.51%,92.49%,0.237%,11.24%,1232,-33.18%,-3.73%,3.73%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
105,Jackson Merrill,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,568,55.25,54.65,43.72,46.60,50.50,71.90,47.80,56.00,4.05,6.06%,7.49%,92.51%,0.235%,14.97%,1236,-49.99%,-7.48%,7.48%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
106,Pedro Pagés,St. Louis Cardinals,St. Louis Cardinals @ Athletics,J.T. Ginn,760,54.51,54.36,46.63,46.90,50.70,61.20,61.30,63.00,3.93,6.78%,7.36%,92.64%,0.227%,11.63%,1259,-36.71%,-4.27%,4.27%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
107,Royce Lewis,Minnesota Twins,Miami Marlins @ Minnesota Twins,Max Meyer,650,55.65,54.95,42.88,46.40,51.60,70.50,53.90,55.00,4.05,6.18%,7.32%,92.68%,0.225%,13.33%,1265,-45.06%,-6.01%,6.01%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
108,Isaac Collins,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,850,56.57,56.77,48.36,53.10,59.80,64.50,51.50,53.00,4.05,6.81%,7.25%,92.75%,0.221%,10.53%,1279,-31.09%,-3.27%,3.27%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
109,Jake Bauers,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Michael King,800,56.90,56.34,45.17,49.80,57.60,69.30,47.80,53.00,4.05,6.63%,7.17%,92.83%,0.216%,11.11%,1294,-35.45%,-3.94%,3.94%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
110,Gavin Sheets,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,590,54.63,54.01,43.62,46.10,49.50,70.70,47.80,56.00,3.93,5.64%,7.05%,92.95%,0.209%,14.49%,1318,-51.33%,-7.44%,7.44%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
111,Lane Thomas,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,680,53.15,53.31,47.90,49.80,52.30,61.00,51.50,53.00,3.93,5.89%,7.00%,93.00%,0.206%,12.82%,1328,-45.38%,-5.82%,5.82%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
112,Rafael Devers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,525,50.42,51.93,41.87,43.40,46.00,68.00,55.60,60.00,3.93,5.26%,6.98%,93.02%,0.205%,16.00%,1333,-56.38%,-9.02%,9.02%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
113,Bo Bichette,New York Mets,Detroit Tigers @ New York Mets,Framber Valdez,850,55.76,55.61,47.80,51.00,56.40,60.90,53.70,59.00,4.05,6.34%,6.85%,93.15%,0.197%,10.53%,1361,-34.97%,-3.68%,3.68%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
114,Cesar Prieto,St. Louis Cardinals,St. Louis Cardinals @ Athletics,J.T. Ginn,920,54.60,54.43,45.04,47.90,55.40,58.50,61.30,58.00,3.93,6.31%,6.73%,93.27%,0.190%,9.80%,1387,-31.40%,-3.08%,3.08%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
115,Nolan Arenado,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,840,54.97,55.13,49.81,52.00,56.70,60.90,52.20,53.00,3.93,5.98%,6.54%,93.46%,0.180%,10.64%,1429,-38.50%,-4.10%,4.10%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
116,Colt Keith,Detroit Tigers,Detroit Tigers @ New York Mets,Christian Scott,680,52.62,52.44,44.08,46.40,50.00,60.00,53.70,59.00,3.93,5.35%,6.54%,93.46%,0.180%,12.82%,1429,-48.97%,-6.28%,6.28%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
117,Ozzie Albies,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,518,42.48,47.31,41.77,38.90,39.80,62.70,57.60,64.00,3.93,4.47%,6.35%,93.65%,0.169%,16.18%,1475,-60.77%,-9.83%,9.83%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
118,Manny Machado,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,556,43.18,48.16,42.52,44.00,44.20,64.60,47.80,56.00,3.93,4.62%,6.32%,93.68%,0.168%,15.24%,1482,-58.54%,-8.92%,8.92%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
119,Josh Bell,Minnesota Twins,Miami Marlins @ Minnesota Twins,Max Meyer,700,48.33,51.00,42.54,43.00,50.10,64.80,53.90,55.00,3.93,5.10%,6.29%,93.71%,0.166%,12.50%,1491,-49.71%,-6.21%,6.21%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
120,James McCann,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,950,54.06,54.49,49.16,51.80,57.90,60.30,52.20,48.00,3.93,5.73%,6.18%,93.82%,0.161%,9.52%,1517,-35.06%,-3.34%,3.34%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
121,Jonathan Aranda,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,720,51.23,51.48,43.26,45.40,49.50,64.00,47.10,53.00,3.93,5.18%,6.03%,93.97%,0.152%,12.20%,1560,-50.59%,-6.17%,6.17%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
122,Nick Loftin,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,940,53.27,53.85,48.33,48.40,56.40,63.10,51.50,48.00,3.93,5.49%,5.98%,94.02%,0.150%,9.62%,1572,-37.79%,-3.63%,3.63%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
123,Lourdes Gurriel Jr.,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,890,52.74,53.14,49.31,50.70,54.80,58.80,52.20,48.00,3.93,5.37%,5.93%,94.07%,0.148%,10.10%,1585,-41.25%,-4.17%,4.17%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
124,Ha-Seong Kim,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,680,46.27,48.15,40.25,46.90,44.90,50.00,57.60,61.00,3.93,4.62%,5.93%,94.07%,0.148%,12.82%,1587,-53.75%,-6.89%,6.89%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
125,Garrett Mitchell,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Michael King,1000,55.00,54.48,44.13,48.20,57.20,66.20,47.80,48.00,4.05,5.49%,5.92%,94.08%,0.147%,9.09%,1588,-34.83%,-3.17%,3.17%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
126,Brice Matthews,Houston Astros,Seattle Mariners @ Houston Astros,Bryce Miller,520,39.44,44.04,40.77,43.10,41.70,46.70,57.80,56.00,3.93,3.92%,5.87%,94.13%,0.145%,16.13%,1603,-63.59%,-10.26%,10.26%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
127,Brett Baty,New York Mets,Detroit Tigers @ New York Mets,Framber Valdez,1040,53.12,52.97,46.52,49.90,53.50,56.80,53.70,54.00,3.93,5.34%,5.75%,94.25%,0.139%,8.77%,1639,-34.46%,-3.02%,3.02%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
128,Mike Yastrzemski,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,620,40.87,45.62,41.13,40.20,38.30,57.60,57.60,61.00,3.93,4.19%,5.74%,94.26%,0.138%,13.89%,1642,-58.67%,-8.15%,8.15%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
129,Tyrone Taylor,New York Mets,Detroit Tigers @ New York Mets,Framber Valdez,980,51.85,51.96,46.96,46.70,51.70,57.60,53.70,54.00,3.93,5.17%,5.66%,94.34%,0.134%,9.26%,1668,-38.91%,-3.60%,3.60%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
130,Wenceel Pérez,Detroit Tigers,Detroit Tigers @ New York Mets,Christian Scott,800,52.93,52.77,44.03,46.70,49.80,61.50,53.70,59.00,3.93,4.90%,5.65%,94.35%,0.134%,11.11%,1670,-49.16%,-5.46%,5.46%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
131,Matt Vierling,Detroit Tigers,Detroit Tigers @ New York Mets,Christian Scott,760,47.18,49.45,43.67,44.30,46.20,58.20,53.70,59.00,3.93,4.84%,5.65%,94.35%,0.134%,11.63%,1669,-51.38%,-5.97%,5.97%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
132,Geraldo Perdomo,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,1100,51.47,51.75,47.90,48.40,53.90,56.20,52.20,48.00,3.93,5.13%,5.51%,94.49%,0.128%,8.33%,1714,-33.83%,-2.82%,2.82%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
133,Jorge Mateo,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,960,51.19,53.14,42.63,41.70,51.10,70.70,57.60,56.00,3.93,4.97%,5.50%,94.50%,0.127%,9.43%,1718,-41.68%,-3.93%,3.93%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
134,Andrés Giménez,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,1120,50.98,51.32,47.55,47.90,55.10,55.60,47.10,48.00,3.93,5.06%,5.43%,94.57%,0.124%,8.20%,1741,-33.72%,-2.76%,2.76%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
135,Willy Adames,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,720,42.18,47.11,41.22,40.20,43.00,61.80,55.60,57.00,3.93,4.44%,5.37%,94.63%,0.121%,12.20%,1762,-55.95%,-6.82%,6.82%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
136,Sung-Mun Song,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,1000,52.03,52.49,42.69,45.80,54.10,65.70,47.80,48.00,3.93,4.85%,5.36%,94.64%,0.121%,9.09%,1765,-41.00%,-3.73%,3.73%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
137,Jose Altuve,Houston Astros,Seattle Mariners @ Houston Astros,Bryce Miller,537,34.09,40.93,40.43,40.40,37.80,44.50,57.80,56.00,3.93,3.39%,5.36%,94.64%,0.121%,15.70%,1766,-65.86%,-10.34%,10.34%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
138,Xander Bogaerts,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,720,41.43,46.73,42.68,41.10,42.60,64.80,47.80,53.00,3.93,4.38%,5.31%,94.69%,0.119%,12.20%,1782,-56.42%,-6.88%,6.88%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
139,Ernie Clement,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,1200,50.27,50.55,47.11,47.60,52.90,55.10,47.10,48.00,3.93,4.93%,5.26%,94.74%,0.116%,7.69%,1802,-31.65%,-2.43%,2.43%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
140,Yandy Díaz,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,770,41.71,46.81,42.63,42.60,44.40,61.70,47.10,53.00,3.93,4.39%,5.24%,94.76%,0.115%,11.49%,1808,-54.39%,-6.25%,6.25%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
141,Isaac Paredes,Houston Astros,Seattle Mariners @ Houston Astros,Bryce Miller,541,30.81,37.89,39.98,36.70,32.20,41.60,57.80,56.00,3.93,3.23%,5.21%,94.79%,0.114%,15.60%,1819,-66.60%,-10.39%,10.39%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
142,Trevor Larnach,Minnesota Twins,Miami Marlins @ Minnesota Twins,Max Meyer,725,40.73,45.75,41.55,38.70,43.60,58.20,53.90,55.00,3.93,4.21%,5.16%,94.84%,0.112%,12.12%,1839,-57.44%,-6.96%,6.96%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
143,Vidal Bruján,New York Mets,Detroit Tigers @ New York Mets,Framber Valdez,1050,51.00,50.77,44.68,50.70,54.90,45.70,53.70,54.00,3.93,4.56%,5.06%,94.94%,0.107%,8.70%,1877,-41.82%,-3.64%,3.64%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
144,William Contreras,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Michael King,900,45.60,48.42,44.06,44.10,48.80,59.60,47.80,48.00,3.93,4.16%,4.86%,95.14%,0.099%,10.00%,1956,-51.36%,-5.14%,5.14%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
145,Harrison Bader,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,900,45.43,48.41,41.41,38.30,45.20,65.20,55.60,52.00,3.93,4.16%,4.86%,95.14%,0.099%,10.00%,1957,-51.38%,-5.14%,5.14%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
146,Andrew Vaughn,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Michael King,900,44.22,47.04,43.90,42.60,46.60,57.50,47.80,48.00,3.93,3.93%,4.66%,95.34%,0.091%,10.00%,2047,-53.42%,-5.34%,5.34%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
147,Matt Chapman,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,790,38.10,43.05,40.34,35.70,35.90,56.60,55.60,57.00,3.93,3.75%,4.65%,95.35%,0.091%,11.24%,2051,-58.63%,-6.59%,6.59%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
148,Cam Smith,Houston Astros,Seattle Mariners @ Houston Astros,Bryce Miller,910,43.45,45.98,41.30,43.10,48.10,47.60,57.80,48.00,3.93,3.75%,4.49%,95.51%,0.085%,9.90%,2129,-54.69%,-5.41%,5.41%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
149,Miguel Andujar,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,880,39.50,45.09,42.36,38.60,42.00,63.80,47.80,48.00,3.93,3.60%,4.39%,95.61%,0.081%,10.20%,2178,-56.98%,-5.81%,5.81%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
150,Mauricio Dubón,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,890,39.98,45.14,41.42,35.70,41.40,59.10,57.60,56.00,3.93,3.60%,4.38%,95.62%,0.081%,10.10%,2181,-56.59%,-5.72%,5.72%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
151,César Salazar,Houston Astros,Seattle Mariners @ Houston Astros,Bryce Miller,750,33.49,40.51,40.42,38.20,40.30,43.70,57.80,53.00,3.93,3.32%,4.33%,95.67%,0.079%,11.76%,2208,-63.17%,-7.43%,7.43%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
152,Chase Meidroth,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Seth Lugo,1200,43.95,46.58,42.60,42.50,45.30,55.90,51.50,48.00,3.93,3.85%,4.31%,95.69%,0.078%,7.69%,2219,-43.94%,-3.38%,3.38%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
153,Christian Yelich,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Michael King,790,33.89,40.76,42.33,43.90,38.70,44.20,47.80,53.00,3.93,3.36%,4.31%,95.69%,0.078%,11.24%,2222,-61.67%,-6.93%,6.93%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
154,Brooks Lee,Minnesota Twins,Miami Marlins @ Minnesota Twins,Max Meyer,880,38.52,43.97,41.48,35.40,41.20,59.50,53.90,50.00,3.93,3.41%,4.22%,95.78%,0.075%,10.20%,2268,-58.62%,-5.98%,5.98%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
155,Jake Fraley,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,940,38.55,43.77,41.90,39.70,42.60,56.20,47.10,48.00,3.93,3.37%,4.12%,95.88%,0.071%,9.62%,2326,-57.14%,-5.49%,5.49%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
156,Luis Rengifo,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Michael King,1500,43.55,46.22,40.02,40.40,47.30,56.50,47.80,48.00,3.93,3.79%,4.08%,95.92%,0.070%,6.25%,2348,-34.65%,-2.17%,2.17%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
157,Nick Fortes,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,1100,38.48,43.62,40.63,39.80,41.80,56.80,47.10,48.00,3.93,3.35%,3.95%,96.05%,0.065%,8.33%,2434,-52.65%,-4.39%,4.39%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
158,Jung Hoo Lee,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1080,37.83,43.29,39.94,33.00,38.00,61.30,55.60,52.00,3.93,3.29%,3.91%,96.09%,0.064%,8.47%,2456,-53.83%,-4.56%,4.56%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
159,Jesus Rodriguez,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1220,38.57,43.52,38.82,36.70,40.40,55.90,55.60,52.00,3.93,3.33%,3.84%,96.16%,0.062%,7.58%,2504,-49.31%,-3.74%,3.74%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
160,Freddy Fermin,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,1050,36.82,41.96,40.39,37.70,39.40,54.00,47.80,48.00,3.93,3.07%,3.74%,96.26%,0.059%,8.70%,2573,-56.98%,-4.95%,4.95%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
161,Cedric Mullins,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,980,36.19,41.52,41.02,36.10,38.20,55.20,47.10,48.00,3.93,2.99%,3.74%,96.26%,0.059%,9.26%,2572,-59.58%,-5.52%,5.52%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
162,Taylor Walls,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,1300,37.57,42.68,38.78,37.80,41.10,56.00,47.10,48.00,3.93,3.19%,3.66%,96.34%,0.056%,7.14%,2631,-48.73%,-3.48%,3.48%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
163,Zach McKinstry,Detroit Tigers,Detroit Tigers @ New York Mets,Christian Scott,1260,37.62,42.38,39.90,38.70,40.20,48.30,53.70,54.00,3.93,3.14%,3.64%,96.36%,0.056%,7.35%,2645,-50.46%,-3.71%,3.71%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
164,Ben Williamson,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,1300,37.20,42.36,39.31,37.50,40.00,56.00,47.10,48.00,3.93,3.13%,3.61%,96.39%,0.055%,7.14%,2667,-49.40%,-3.53%,3.53%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
165,Jonny DeLuca,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,990,35.55,40.69,41.17,37.00,37.40,51.30,47.10,48.00,3.93,2.85%,3.61%,96.39%,0.055%,9.17%,2672,-60.67%,-5.57%,5.57%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
166,Luis Arraez,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1500,37.62,42.66,37.27,33.80,40.00,56.00,55.60,52.00,3.93,3.18%,3.55%,96.45%,0.053%,6.25%,2715,-43.17%,-2.70%,2.70%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
167,Ryan Vilade,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,1060,35.76,40.77,40.51,37.50,38.70,49.80,47.10,48.00,3.93,2.86%,3.55%,96.45%,0.053%,8.62%,2714,-58.77%,-5.07%,5.07%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
